GEOTYPE|ST|GEO_ID|GEO_TTL|FOOTID_GEO|YEAR|SCHENROLL|SCHENROLL_F|SCHEXPCS_PP|SCHEXPCS_PP_F|SCHEXPCSFSW_PP|SCHEXPCSFSW_PP_F|SCHEXPCSFEB_PP|SCHEXPCSFEB_PP_F|SCHEXPCSIT_PP|SCHEXPCSIT_PP_F|SCHEXPCSISW_PP|SCHEXPCSISW_PP_F|SCHEXPCSIEB_PP|SCHEXPCSIEB_PP_F|SCHEXPCSST_PP|SCHEXPCSST_PP_F|SCHEXPCSSPS_PP|SCHEXPCSSPS_PP_F|SCHEXPCSSIS_PP|SCHEXPCSSIS_PP_F|SCHEXPCSSGA_PP|SCHEXPCSSGA_PP_F|SCHEXPCSSSA_PP|SCHEXPCSSSA_PP_F
37|29|9700000US2905820|Braymer C-4 School District, Missouri||2013|307||7883||4805||1319||4577||3101||883||2730||274||68||612||560|
37|29|9700000US2905850|Breckenridge R-I School District, Missouri||2013|84||14583||9548||2440||9607||6750||1667||4083||155||345||1595||619|
37|29|9700000US2905880|Brentwood School District, Missouri||2013|665||19301||12977||3702||10998||7543||2164||7907||848||544||1361||1899|
37|29|9700000US2905910|Bronaugh R-VII School District, Missouri||2013|215||9651||5805||1242||5326||3460||758||3679||344||488||512||530|
37|29|9700000US2905940|Brookfield R-III School District, Missouri||2013|1052||8759||5262||1485||5668||3907||1083||2702||231||461||539||510|
37|29|9700000US2906000|Linn County R-I School District, Missouri||2013|247||9899||5551||2016||5559||3457||1255||3781||336||312||1045||441|
37|29|9700000US2906030|Brunswick R-II School District, Missouri||2013|307||9049||5414||1609||5508||3508||1036||3059||261||264||720||635|
37|29|9700000US2906090|Bucklin R-II School District, Missouri||2013|154||12721||7760||2253||7455||5065||1526||4701||377||195||955||1403|
37|29|9700000US2906120|Dallas County R-I School District, Missouri||2013|1792||8911||5563||1610||5469||3717||1026||3060||332||499||372||411|
37|29|9700000US2906150|Cooper County R-IV School District, Missouri||2013|141||12936||8050||1993||6780||4475||1199||5496||496||681||1149||1610|
37|29|9700000US2906170|Bunker R-III School District, Missouri||2013|266||11778||6530||2075||5850||3865||1207||5323||297||233||1222||996|
37|29|9700000US2906360|Butler R-V School District, Missouri||2013|1058||7957||4670||1341||4649||3231||928||2905||288||588||285||516|
37|29|9700000US2906430|Cabool R-IV School District, Missouri||2013|746||8768||5248||1543||5119||3361||938||3055||260||563||322||484|
37|29|9700000US2906450|Cainsville R-I School District, Missouri||2013|105||12686||8200||2067||7857||5543||1457||4238||95||48||895||771|
37|29|9700000US2906480|Calhoun R-VIII School District, Missouri||2013|181||9602||7818||2127||5459||3547||983||3315||243||199||646||619|
37|29|9700000US2906510|Moniteau County R-I School District, Missouri||2013|1274||8052||4677||1331||5143||3553||1011||2435||250||363||221||305|
37|29|9700000US2906990|Camdenton R-III School District, Missouri||2013|4308||9565||6098||1800||5641||3947||1166||3409||361||597||291||617|
37|29|9700000US2907020|Cameron R-I School District, Missouri||2013|1783||8789||4749||1563||5752||3655||1173||2541||203||147||381||411|
37|29|9700000US2907050|Campbell R-II School District, Missouri||2013|644||7022||4497||1301||4121||2851||804||2491||239||259||422||470|
37|29|9700000US2907080|Canton R-V School District, Missouri||2013|534||8768||4908||1511||5639||3202||998||2620||182||253||463||665|
37|29|9700000US2907120|Cape Girardeau 63 School District, Missouri||2013|4178||9422||5827||1899||5773||4058||1294||3164||322||241||629||590|
37|29|9700000US2907350|Carl Junction R-I School District, Missouri||2013|3423||7271||4805||1169||4519||3325||816||2362||285||304||238||365|
37|29|9700000US2907380|Carrollton R-VII School District, Missouri||2013|879||9282||5701||1464||5373||3719||970||3313||353||570||507||553|
37|29|9700000US2907460|Carthage R-IX School District, Missouri||2013|4534||7752||5074||1289||4927||3487||882||2368||297||371||146||390|
37|29|9700000US2907470|Caruthersville 18 School District, Missouri||2013|1233||8979||4846||1432||5335||3115||917||3199||349||482||464||764|
37|29|9700000US2908170|Cassville R-IV School District, Missouri||2013|1846||7884||5135||1433||4594||3249||904||2829||253||420||264||559|
37|29|9700000US2908250|Center 58 School District, Missouri||2013|2530||12383||7729||2302||7037||4962||1445||4858||471||719||618||753|
37|29|9700000US2908320|Johnson County R-VII School District, Missouri||2013|614||8171||4617||1471||4647||3163||987||3008||368||487||441||516|
